ID,Correct1,WrongPos1,Previous1,Wrong1,Correct2,WrongPos2,Previous2,Wrong2
gA04_SIS_Results.mat,39,26,23,8,33,36,21,6
gA06_SIS_Results.mat,31,54,11,0,88,4,4,0
oA09_SIS_Results.mat,39,44,12,1,37,46,10,3
oA12_SIS_Results.mat,51,28,16,1,64,19,11,2
oA13_SIS_Results.mat,43,36,17,0,49,30,16,1
gA18_SIS_Results.mat,22,53,10,11,13,54,17,12
oA23_SIS_Results.mat,44,44,7,1,65,25,4,2
oA31_SIS_Results.mat,48,36,10,2,48,33,14,1
gA34_SIS_Results.mat,53,32,11,0,73,16,6,1
gA35_SIS_Results.mat,44,35,11,6,42,29,23,2
oA36_SIS_Results.mat,51,35,8,2,64,26,3,3
gA38_SIS_Results.mat,42,32,20,2,58,18,17,3
gA50_SIS_Results.mat,42,35,18,1,49,25,19,3
gA52_SIS_Results.mat,53,27,15,1,58,25,10,3
oA56_SIS_Results.mat,55,31,10,0,61,25,10,0
gA59_SIS_Results.mat,35,43,17,1,32,48,12,4
gA66_SIS_Results.mat,39,39,14,4,60,17,17,2
gA71_SIS_Results.mat,48,34,14,0,61,24,11,0
gA77_SIS_Results.mat,49,34,10,3,55,33,6,2
gA80_SIS_Results.mat,46,37,9,4,57,26,10,3
oA81_SIS_Results.mat,13,63,14,6,53,32,10,1
gA83_SIS_Results.mat,51,39,5,1,59,31,6,0
gA86_SIS_Results.mat,56,24,16,0,60,21,14,1
